province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time,_1day_avg,_1day_std,_1day_min,_2day_avg,_2day_std,_2day_min,_3day_avg,_3day_std,_3day_min,_4day_avg,_4day_std,_4day_min,_7day_avg,_7day_std,_7day_min,_14day_avg,_14day_std,_14day_min,_21day_avg,_21day_std,_21day_min,_30day_avg,_30day_std,_30day_min,_60day_avg,_60day_std,_60day_min
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-18,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-17,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-16,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-15,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-14,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-13,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-12,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-11,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-10,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-12-09,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-12-08,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-12-07,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-12-06,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-04,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-03,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-02,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-12-01,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-30,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-29,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-28,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.0,,,2018-11-27,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,3.0,,,2018-11-26,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-11-25,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-11-24,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-11-22,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,4.0,,,2018-11-21,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-20,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-19,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-18,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-17,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-16,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-15,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-14,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-13,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-12,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-11,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-10,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-08,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-07,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-06,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5.0,,,2018-11-05,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-04,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-03,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-02,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-11-01,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-31,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-30,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-29,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-28,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-27,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-26,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-25,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-24,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-23,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7.0,,,2018-10-22,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-31,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-30,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6.0,,,2018-10-29,,,,7.0,,7.0,7.0,0.0,7.0,6.666666666666667,0.5773502691896258,6.0,6.166666666666667,0.7527726527090812,5.0,6.153846153846154,0.8006407690254358,5.0,6.35,1.1367080817685316,5.0,6.724137931034483,1.1617890060511336,5.0,7.172413793103448,1.2860647310450557,5.0
